dont_email,dont_call,occupation,received_free_copy,total_site_visit,total_time_spend_on_site,avg_page_view_per_visit,converted
No,No,Unemployed,Yes,3.0,281.0,1.5,0
No,No,Working Professional,No,7.0,1398.0,3.5,1
No,No,Unemployed,Yes,4.0,271.0,4.0,0
No,No,Student,No,0.0,0.0,0.0,0
No,No,Unemployed,No,12.0,806.0,3.0,0
No,No,Unemployed,No,3.0,253.0,3.0,0
No,No,Unemployed,No,6.0,943.0,2.0,0
No,No,Unemployed,Yes,4.0,95.0,4.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,1653.0,2.0,1
Yes,No,Unemployed,No,2.0,402.0,2.0,0
Yes,No,Unemployed,No,6.0,124.0,2.0,0
No,No,Unemployed,No,2.0,1099.0,2.0,1
No,No,Unemployed,No,4.0,29.0,1.33,0
No,No,Unemployed,Yes,4.0,1081.0,4.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,2.0,161.0,2.0,0
No,No,Unemployed,Yes,2.0,74.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,4.0,1019.0,4.0,1
No,No,Unemployed,Yes,2.0,109.0,2.0,0
No,No,Unemployed,No,3.0,1219.0,3.0,0
No,No,Unemployed,Yes,2.0,170.0,2.0,0
No,No,Unemployed,No,5.0,786.0,5.0,1
No,No,Working Professional,Yes,4.0,1063.0,4.0,1
No,No,Unemployed,Yes,4.0,453.0,2.0,1
Yes,No,Unemployed,Yes,5.0,1067.0,5.0,0
No,No,Student,No,3.0,677.0,1.5,0
Yes,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,6.0,942.0,3.0,1
No,No,Unemployed,Yes,2.0,1201.0,2.0,1
No,No,Unemployed,Yes,5.0,1098.0,5.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Businessman,No,2.0,1580.0,2.0,1
No,No,Unemployed,No,4.0,952.0,4.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,8.0,1071.0,8.0,0
No,No,Unemployed,No,2.0,2.0,2.0,0
Yes,No,Student,No,1.0,97.0,1.0,0
No,No,Unemployed,No,4.0,1559.0,4.0,1
