manufacture_year,mileage,price,length_mm,engine_cc,aspiration,wheel_base_mm,width_mm,direct_injection,seat_capacity,peak_power_hp,fuel_type,steering_type,assembled,height_mm,peak_torque_nm,doors,brand,colour,model,transmission
2015.0,50000.0,226800.0,4417.0,1991.0,Twin-scroll turbo,2699.0,1804.0,Direct Injection,5.0,360.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1494.0,450.0,5.0,Mercedes-Benz,White,GLA45 AMG,Automatic
2014.0,70000.0,116000.0,4795.0,2362.0,Aspirated,2950.0,1800.0,Multi-Point Injected,7.0,170.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1745.0,223.0,5.0,Toyota,Black,Estima,Automatic
2016.0,40000.0,34800.0,4425.0,1498.0,Aspirated,2600.0,1695.0,Multi-Point Injected,5.0,102.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1500.0,139.0,4.0,Nissan,Green,Almera,Automatic
2019.0,10000.0,219800.0,4419.0,1991.0,Turbo intercooled,2729.0,1796.0,Direct Injection,5.0,224.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1440.0,350.0,5.0,Mercedes-Benz,White,A250,Automatic
2012.0,101000.0,18900.0,3950.0,1596.0,Aspirated,2489.0,1722.0,Multi-Point Injected,5.0,120.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1475.0,152.0,5.0,Ford,Bronze,Fiesta,Automatic
2016.0,40000.0,36800.0,4230.0,1495.0,Aspirated,2750.0,1695.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1620.0,136.0,5.0,Perodua,Blue,Alza,Automatic
1999.0,205000.0,11800.0,4601.090693538827,1998.0,Aspirated,2735.0,1811.421210305572,Multi-Point Injected,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1672.2348711803477,181.0,5.0,Toyota,White,Nadia,Automatic
2005.0,155000.0,28800.0,4730.0,2499.0,Aspirated,2850.0,1775.0,Direct Injection,5.0,215.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1435.0,260.0,4.0,Toyota,Silver,Mark X,Automatic
2016.0,60000.0,338000.0,4681.0,1984.0,Turbo intercooled,2807.0,1923.0,Direct Injection,5.0,237.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1624.0,350.0,5.0,Porsche,Gold,Macan,Automatic
2012.0,75000.0,48800.0,4525.0,1997.0,Aspirated,2670.0,1755.0,Multi-Point Injected,5.0,155.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1435.0,190.0,4.0,Honda,Grey,Civic,Automatic
2015.0,70000.0,62800.0,4294.0,1799.0,Aspirated,2610.0,1772.0,Multi-Point Injected,5.0,143.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1605.0,172.0,5.0,Honda,Black,HR-V,Automatic
2005.0,165000.0,34800.0,3626.0,1598.0,Aspirated,2467.0,1688.0,Multi-Point Injected,4.0,116.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1416.0,149.0,3.0,MINI,Yellow,Cooper,Automatic
2017.0,65000.0,105700.0,4850.0,2494.0,Aspirated,2775.0,1825.0,Multi-Point Injected,5.0,160.0,Hybrid,Rack and Pinion,Locally Built,1470.0,213.0,4.0,Toyota,Black,Camry,Automatic
2010.0,175000.0,57998.0,4627.0,1999.0,Turbocharged,2774.0,1891.0,Direct Injection,5.0,205.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1672.0,300.0,5.0,Volvo,White,XC60,Automatic
2000.0,205000.0,13800.0,4520.0,1948.0,Turbo intercooled,2560.0,1720.0,Multi-Point Injected,5.0,165.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,240.0,5.0,Volvo,Silver,V40,Automatic
2019.0,20000.0,20988.0,3640.0,998.0,Aspirated,2455.0,1620.0,Multi-Point Injected,5.0,68.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1510.0,91.0,5.0,Perodua,White,Axia,Manual
2012.0,125000.0,108000.0,4110.0,1598.0,Twin-scroll turbo,2595.0,1789.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1561.0,240.0,5.0,MINI,Red,Countryman,Automatic
2006.0,155000.0,30800.0,4510.0,1998.0,Turbo intercooled,2700.0,1740.0,Multi-Point Injected,5.0,260.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1445.0,323.0,5.0,Toyota,White,Caldina,Automatic
2012.0,90000.0,34800.0,4150.0,1495.0,Aspirated,2655.0,1600.0,Multi-Point Injected,7.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1695.0,136.0,5.0,Toyota,Red,Avanza,Automatic
2016.0,75000.0,73800.0,4294.0,1799.0,Aspirated,2610.0,1772.0,Multi-Point Injected,5.0,143.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1605.0,172.0,5.0,Honda,Black,HR-V,Automatic
2008.0,130000.0,32800.0,4945.0,2354.0,Aspirated,2800.0,1845.0,Multi-Point Injected,5.0,181.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1475.0,222.0,4.0,Honda,Silver,Accord,Automatic
2014.0,75000.0,94800.0,3821.0,1499.0,Turbo intercooled,2495.0,1727.0,Direct Injection,4.0,136.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1414.0,220.0,3.0,MINI,Black,3 Door,Automatic
2012.0,75000.0,26800.0,4530.0,1591.0,Aspirated,2650.0,1775.0,Multi-Point Injected,5.0,124.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1460.0,156.0,4.0,Kia,Silver,Forte,Automatic
2011.0,105000.0,43800.0,4320.0,1798.0,Aspirated,2600.0,1765.0,Multi-Point Injected,5.0,99.0,Hybrid,Rack and Pinion,Official Import,1430.0,142.0,5.0,Lexus,White,CT200h,Automatic
2014.0,85000.0,112800.0,4907.0,1997.0,Twin-scroll turbo,2968.0,1860.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1462.0,270.0,4.0,BMW,Black,520i,Automatic
2014.0,70000.0,22800.0,4384.0,1598.0,Aspirated,2552.0,1699.0,Multi-Point Injected,5.0,105.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1466.0,153.0,4.0,Volkswagen,Silver,Polo,Automatic
2010.0,90000.0,40800.0,4215.0,1497.0,Aspirated,2740.0,1700.0,Multi-Point Injected,7.0,118.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1735.0,146.0,5.0,Honda,Black,Freed,Automatic
2014.0,55000.0,75800.0,4555.0,2488.0,Aspirated,2700.0,1840.0,Direct Injection,5.0,185.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1670.0,250.0,5.0,Mazda,Grey,CX-5,Automatic
