manufacture_year,mileage,price,length_mm,engine_cc,aspiration,wheel_base_mm,width_mm,direct_injection,seat_capacity,peak_power_hp,fuel_type,steering_type,assembled,height_mm,peak_torque_nm,doors,brand,colour,model,transmission,pred_price,update_analytics
2006.0,95000.0,12800.0,3480.0,989.0,Aspirated,2360.0,1490.0,Multi-Point Injected,5.0,55.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1425.0,88.0,5.0,Perodua,Silver,Kelisa,Automatic,11770.720345673828,0.0
2014.0,75000.0,24800.0,4618.0,1997.0,Aspirated,2702.0,1813.0,Multi-Point Injected,5.0,141.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1485.0,195.0,4.0,Renault,Silver,Fluence,Automatic,32159.798111245433,1.0
2014.0,98000.0,86800.0,4705.0,2694.0,Aspirated,2750.0,1840.0,Multi-Point Injected,7.0,160.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1850.0,241.0,5.0,Toyota,Silver,Fortuner,Automatic,79405.91108282904,1.0
2003.0,185000.0,8800.0,4465.0,1584.0,Aspirated,2600.0,1740.0,Multi-Point Injected,5.0,103.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1420.0,140.0,4.0,Proton,Silver,Waja,Manual,11980.812543904847,1.0
2014.0,105000.0,30800.0,4536.0,1561.0,Turbocharged,2650.0,1786.0,Multi-Point Injected,5.0,140.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1524.0,205.0,5.0,Proton,Red,Suprima S,Automatic,31293.387523000816,0.0
2004.0,185000.0,70000.0,4680.0,1994.0,Turbo intercooled,2670.0,1730.0,Multi-Point Injected,5.0,260.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1470.0,343.0,5.0,Subaru,White,Legacy,Automatic,55056.12303813085,0.0
2010.0,115000.0,51800.0,4627.0,1999.0,Turbocharged,2774.0,1891.0,Direct Injection,5.0,205.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1672.0,300.0,5.0,Volvo,Gold,XC60,Automatic,52208.136122689386,1.0
2012.0,95000.0,49999.0,4320.0,1798.0,Aspirated,2600.0,1765.0,Multi-Point Injected,5.0,99.0,Hybrid,Rack and Pinion,Official Import,1430.0,142.0,5.0,Lexus,White,CT200h,Automatic,45873.22878057475,1.0
2019.0,15000.0,94800.0,4519.0,1799.0,Turbocharged,2670.0,1831.0,Direct Injection,5.0,184.0,Petrol - Unleaded (ULP),Rack and Pinion,Official Import,1694.0,285.0,5.0,Proton,Bronze,X70,Automatic,94860.53064593622,0.0
2017.0,57500.0,30700.0,4150.0,1329.0,Aspirated,2455.0,1620.0,Multi-Point Injected,5.0,95.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1510.0,121.0,4.0,Perodua,White,Bezza,Automatic,34717.145580136224,1.0
2019.0,45000.0,34800.0,4150.0,1329.0,Aspirated,2455.0,1620.0,Multi-Point Injected,5.0,95.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1510.0,121.0,4.0,Perodua,Silver,Bezza,Automatic,34678.93253605192,0.0
2012.0,100000.0,31700.0,4660.0,2199.0,Turbo intercooled,2700.0,1890.0,Direct Injection,7.0,196.0,Diesel,Rack and Pinion,Locally Built,1760.0,442.0,5.0,Hyundai,Silver,Santa Fe,Automatic,64953.491398515274,1.0
2014.0,95000.0,65800.0,5359.0,2198.0,Turbo intercooled,3220.0,1850.0,Direct Injection,5.0,150.0,Diesel,Rack and Pinion,Official Import,1815.0,375.0,4.0,Ford,Grey,Ranger,Automatic,63167.48878344599,0.0
2013.0,85000.0,68500.0,4545.0,2354.0,Aspirated,2620.0,1820.0,Multi-Point Injected,5.0,190.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1685.0,222.0,5.0,Honda,White,CR-V,Automatic,62377.6289250015,1.0
2011.0,85000.0,83800.0,4850.0,2362.0,Aspirated,2950.0,1830.0,Multi-Point Injected,8.0,170.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1890.0,224.0,5.0,Toyota,Grey,Alphard,Automatic,97657.30036868536,1.0
2008.0,45000.0,325000.0,4450.0,3600.0,Twin Turbo intercooled,2350.0,1852.0,Multi-Point Injected,4.0,480.0,Petrol - Unleaded (ULP),Rack and Pinion,Parallel Import,1300.0,620.0,2.0,Porsche,Black,911,Automatic,336745.36246180214,1.0
2013.0,80000.0,23800.0,4592.0,1561.0,Turbocharged,2730.0,1809.0,Multi-Point Injected,7.0,140.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1691.0,205.0,5.0,Proton,Bronze,Exora,Automatic,31391.62428533945,0.0
2018.0,20000.0,86800.0,4620.0,1798.0,Aspirated,2700.0,1776.0,Multi-Point Injected,5.0,140.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1460.0,173.0,4.0,Toyota,Grey,Corolla Altis,Automatic,74703.58453324667,1.0
2014.0,75000.0,33800.0,3898.0,1597.0,Aspirated,2440.0,1745.0,Multi-Point Injected,5.0,126.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1434.0,150.0,3.0,Proton,White,Satria,Manual,24049.199497312035,1.0
2014.0,70000.0,35800.0,4580.0,1598.0,Aspirated,2640.0,1755.0,Multi-Point Injected,5.0,105.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1470.0,145.0,4.0,Mazda,Silver, 3,Automatic,36592.36751365408,0.0
2020.0,15000.0,65800.0,4435.0,1496.0,Aspirated,2685.0,1695.0,Multi-Point Injected,7.0,102.0,Petrol - Unleaded (ULP),Rack and Pinion,Locally Built,1740.0,133.0,5.0,Perodua,Blue,Aruz,Automatic,64108.918859126534,1.0
